date,composite
2002-08-31,-0.10391993198306217
2002-09-30,-0.17406846615642468
2002-10-31,-0.4030012615111348
2002-11-30,-0.6805529077797168
2002-12-31,-0.6667129251361675
2003-01-31,-0.21099828793497127
2003-02-28,-0.2568829925188353
2003-03-31,-0.48328187977017406
2003-04-30,-0.5205893952857514
2003-05-31,-0.31697610138844073
2003-06-30,-0.1254836901303683
2003-07-31,-0.2045157213178371
2003-08-31,-0.3569796201785123
2003-09-30,-0.3233810547870345
2003-10-31,-0.28266236244472753
2003-11-30,-0.07388868019997184
2003-12-31,-0.05662029952460512
2004-01-31,0.15090572580783757
2004-02-29,0.1733155256653326
2004-03-31,0.20747458897806428
2004-04-30,0.17600205339369726
2004-05-31,-0.0434355754850623
2004-06-30,-0.09228946473995243
2004-07-31,0.0010954895397807007
2004-08-31,0.15297873915359606
2004-09-30,0.20253603572943227
2004-10-31,0.022424715240093318
2004-11-30,-0.026755576950235786
2004-12-31,0.055155788157071915
2005-01-31,0.30936181094904736
2005-02-28,0.23650097966134537
2005-03-31,0.2498383027229181
2005-04-30,0.1138699016764268
2005-05-31,0.012577423306710083
2005-06-30,0.2144656830434941
2005-07-31,0.04797315689186617
2005-08-31,0.2056986458088052
2005-09-30,0.06360084634864761
2005-10-31,0.24046394831827034
2005-11-30,0.14983129163238698
2005-12-31,0.21192068207019935
2006-01-31,0.1637609395257276
2006-02-28,0.35446430583372085
2006-03-31,0.42340605673939
2006-04-30,0.4655026718038569
2006-05-31,0.4535161687349148
2006-06-30,0.3296425207220882
2006-07-31,0.4228042611029761
2006-08-31,0.23784166642898566
2006-09-30,0.19443738913271044
2006-10-31,0.11857558430732053
2006-11-30,0.23631546791538402
2006-12-31,0.44149502744649427
2007-01-31,0.44332679178528983
2007-02-28,0.43727148738274596
2007-03-31,0.36195090771809246
2007-04-30,0.2572553887035277
2007-05-31,0.40704815952945256
2007-06-30,0.2759790134580641
2007-07-31,0.18579578189573162
2007-08-31,0.039417903642323615
2007-09-30,0.10968061241748618
2007-10-31,0.28648924428981093
2007-11-30,0.3012375834191061
2007-12-31,0.3405495971344789
2008-01-31,0.513467125293432
2008-02-29,0.5685262762233949
2008-03-31,0.49683090367041505
2008-04-30,0.10387843687730802
2008-05-31,-0.026572301606280106
2008-06-30,0.054917640019993
2008-07-31,0.31638127419504936
2008-08-31,0.4372733875646326
2008-09-30,0.6051672536570967
2008-10-31,0.21299752680571488
2008-11-30,-0.03968148329507902
2008-12-31,-0.24119434919887292
2009-01-31,-0.49688553794941714
2009-02-28,-0.7629287975699259
2009-03-31,-0.8405084259058914
2009-04-30,-0.5958682612609935
2009-05-31,-0.3775973454621309
2009-06-30,-0.253032339612632
2009-07-31,-0.2703988866052413
2009-08-31,-0.21574670991969722
2009-09-30,-0.15735605916692288
2009-10-31,-0.03524595025800919
2009-11-30,-0.21097965820539627
2009-12-31,-0.24261749328875595
2010-01-31,-0.017872493672125705
2010-02-28,-0.10020949568418717
2010-03-31,0.09663459056760403
2010-04-30,-0.020008355405182775
2010-05-31,-0.10467360251101396
2010-06-30,-0.09745863803570422
2010-07-31,-0.12341229614601218
2010-08-31,-0.054556677159210504
2010-09-30,-0.0158372158522659
2010-10-31,-0.05727680856752642
2010-11-30,-0.1015403655026464
2010-12-31,0.11715691871641223
2011-01-31,0.14044870023656558
2011-02-28,0.23213542674192109
2011-03-31,0.26742777227404635
2011-04-30,0.3998723170888133
2011-05-31,0.3494769953018207
2011-06-30,0.25567620642843364
2011-07-31,0.09451295892738183
2011-08-31,-0.1456355048460312
2011-09-30,-0.3475913334902462
2011-10-31,-0.21433910873527562
2011-11-30,-0.08389930926728094
2011-12-31,0.14347087552192408
2012-01-31,-0.0029448936418588582
2012-02-29,-0.17491829171550116
2012-03-31,-0.269494886556524
2012-04-30,-0.07797589588650299
2012-05-31,0.025106235055989284
2012-06-30,0.119314955796094
2012-07-31,-0.0018046387214744116
2012-08-31,-0.1268191341501225
2012-09-30,0.0650682374063893
2012-10-31,0.2229798640304219
2012-11-30,0.25961169860672234
2012-12-31,0.16425283207483563
2013-01-31,0.2547602923646781
2013-02-28,0.28523302565877695
2013-03-31,0.29441117280743245
2013-04-30,0.20438806790209088
2013-05-31,0.15695548503966153
2013-06-30,0.13258744648203524
2013-07-31,0.25042150985950123
2013-08-31,0.2403720461516746
2013-09-30,0.19333836455521164
2013-10-31,0.12039903225892654
2013-11-30,0.2363984432633231
2013-12-31,0.24931767603447472
2014-01-31,0.2261197555198934
2014-02-28,0.159801194198948
2014-03-31,0.21436051661001615
2014-04-30,0.20740997013156864
2014-05-31,0.16806441010259063
2014-06-30,0.12971795092549288
2014-07-31,0.017359307922950425
2014-08-31,0.10192214260851842
2014-09-30,0.03887798816262873
2014-10-31,0.22004087203899508
2014-11-30,0.06498298185043277
2014-12-31,0.32166093488564124
2015-01-31,0.16675843554260308
2015-02-28,0.3166061508475058
2015-03-31,0.3256619956543848
2015-04-30,0.30871296416989824
2015-05-31,0.2597919274526506
2015-06-30,0.35875961648278193
2015-07-31,0.35980202132207356
2015-08-31,0.3717779323849182
2015-09-30,0.10492051608947038
2015-10-31,-0.0038540801919821513
2015-11-30,-0.01849378803754869
2015-12-31,-0.042512066071244
2016-01-31,0.14047177126719707
2016-02-29,0.11913317838461168
2016-03-31,0.1508132481805867
2016-04-30,0.38826113563000697
2016-05-31,0.17498807712686157
2016-06-30,0.2608340966960379
2016-07-31,-0.04338778584471293
2016-08-31,0.048648802336181525
2016-09-30,-0.061641067958300176
2016-10-31,-0.09370639930761525
2016-11-30,0.21034386321178966
2016-12-31,0.3067136542434371
2017-01-31,0.2657153220841162
2017-02-28,0.08636137760410495
2017-03-31,-0.06257662260276645
2017-04-30,0.11037684275084979
2017-05-31,-0.14597466180795202
2017-06-30,0.2719649494366087
2017-07-31,0.14319051366046037
2017-08-31,0.30998168369403456
2017-09-30,0.17141486758149235
2017-10-31,0.1226637781717548
2017-11-30,0.3385889051222495
2017-12-31,0.27696425190658286
2018-01-31,0.29742672269900483
2018-02-28,0.022420767105358574
2018-03-31,0.12350686955222516
2018-04-30,0.4886721195584123
2018-05-31,0.4335750476083776
2018-06-30,0.39449285391670097
2018-07-31,0.25173223271049355
2018-08-31,0.3584326661483912
2018-09-30,0.28937147810535546
2018-10-31,0.265356173978018
2018-11-30,0.2925024336201772
2018-12-31,0.1284151741471325
2019-01-31,0.05487193682669579
2019-02-28,0.03916918264488409
2019-03-31,-0.049431963809708275
2019-04-30,-0.1983699525595483
2019-05-31,0.012216074997546015
2019-06-30,0.1257923272716278
2019-07-31,0.19003290935652944
2019-08-31,-0.22218134221699604
2019-09-30,-0.12122585622490936
2019-10-31,-0.14879229220377682
2019-11-30,-0.09673013094065724
2019-12-31,-0.19013533459678278
2020-01-31,-0.23834170078486952
2020-02-29,-0.4070104839124329
2020-03-31,-0.6231004078107795
2020-04-30,-0.6951017759538487
2020-05-31,-0.6445717345925194
2020-06-30,-0.41572725530811677
2020-07-31,-0.43515985604805296
2020-08-31,-0.4092610611698963
2020-09-30,-0.2796164887694181
2020-10-31,-0.03883995196453557
2020-11-30,0.12398469364805219
2020-12-31,0.14397075126788908
2021-01-31,0.06476647033468239
2021-02-28,0.22099532828840165
2021-03-31,0.33954427984094576
2021-04-30,0.38744881657412283
2021-05-31,0.3362743957627799
2021-06-30,0.14593923254427485
2021-07-31,-0.045798860653922184
2021-08-31,0.027361669583093006
2021-09-30,0.2455192514752163
2021-10-31,0.3406349491880942
2021-11-30,-0.07762642501813745
2021-12-31,-0.04990966826788499
2022-01-31,0.02846993282648435
2022-02-28,0.3317530258395288
2022-03-31,0.20309900667845654
2022-04-30,0.2846715454110555
2022-05-31,0.11006007757038092
2022-06-30,0.1419145276803096
2022-07-31,-0.10607534409679781
2022-08-31,0.05488005437197418
2022-09-30,-0.02456344805827406
2022-10-31,0.20243341219243016
2022-11-30,-0.11784895121154557
2022-12-31,-0.1521748066000496
2023-01-31,-0.4283344379064823
2023-02-28,-0.3794270703980478
2023-03-31,-0.7527767223449422
2023-04-30,-0.5324891916251704
2023-05-31,-0.7420690706990728
2023-06-30,-0.4419767302222459
2023-07-31,-0.40326715014861025
2023-08-31,-0.010829779195975737
2023-09-30,-0.05250072807859701
2023-10-31,-0.17088510082836908
2023-11-30,-0.26850818159463075
2023-12-31,-0.24707791242243946
2024-01-31,-0.3157494585845301
2024-02-29,-0.16976188720928478
2024-03-31,-0.07509309655843974
2024-04-30,-0.0005973857980989069
2024-05-31,0.04332026879347344
2024-06-30,-0.25544002087932643
2024-07-31,0.17581063030940036
2024-08-31,0.2749893189751568
2024-09-30,0.43887835508528855
2024-10-31,0.1689284993219739
2024-11-30,0.4600019502209261
2024-12-31,0.2227171139914892
2025-01-31,0.29732896278564996
2025-02-28,0.15658713312958653
2025-03-31,0.3274781447205983
2025-04-30,0.21393042708740087
2025-05-31,0.07170907954103752
2025-06-30,-0.08480690905661155
2025-07-31,0.007929157795140454
2025-08-31,0.36106907563784824
2025-09-30,0.37543827371767596
2025-10-31,0.1766235407275387
2025-11-30,0.13752407522135626
2025-12-31,0.301235225145704
2026-01-31,0.46504872939342357
2026-02-28,0.40353647164435424
2026-03-31,0.4012079121566887
2026-04-30,0.15684386360995048
2026-05-31,-0.0005008660578909616
